Brand and Variety,Phos,Protein,Sodium,Fat,Carbs,Cals,Obtained,meal,label
Feline Natural Chicken & LambFeast Freeze Dried*,1.63,52.17,na,33.7,na,4857,01-Feb-20,114.1975361,NURSING CATS
I and Love and You Lovingly Simple Salmon & Sweet Potato,1.65,42.13,0.87,15.7,na,3538,08-Nov-19,173.7509468,NURSING CATS
"Wellness CORE Grain-Free Adult Turkey, Turkey Meal & Duck",1.66,44.29,0.28,20.74,21.14,3902,01-Feb-20,150.4308959,NURSING CATS
Fussie Cat Guinea Fowl & Turkey Meal*,1.67,38.89,na,16.67,na,3598,17-Jan-20,177.4111621,NURSING CATS
ZiwiPeak New Zealand Air-Dried Mackerel & Lamb,1.67,51,0.77,33,4,4800,01-Feb-20,116.7557932,NURSING CATS
Merrick Purrfect Bistro Grain Free Real Salmon & Sweet Potato,1.68,46.81,0.57,18.38,26.43,3748,26-Jun-19,152.8764791,NURSING CATS
Wellness CORE Grain Free Original Turkey & Chicken,1.68,51.36,0.51,21.3,14.17,3977,01-Feb-20,136.1666886,NURSING CATS
Wellness CORE Grain Free Kitten Turkey & Chicken,1.68,51.36,0.51,21.3,14.17,3977,01-Feb-20,136.1666886,NURSING CATS
Wellness RawRev Original with 100% Raw Freeze-Dried Turkey Liver,1.68,52.66,0.51,21.36,12.76,3871,01-Feb-20,134.037732,NURSING CATS
Orijen Fit & Trim,1.7,48.9,0.42,16.7,17.8,3710,23-Sep-19,155.7008682,NURSING CATS
Natural Balance Original Ultra Whole Body Health Chicken & Salmon,1.71,38.84,0.59,18.61,31.13,na,07-Oct-19,170.0427386,NURSING CATS
Wellness Complete Health Salmon & Salmon Meal,1.72,42.07,0.61,19.84,26.03,3873,01-Feb-20,157.9404909,NURSING CATS
"Nulo Freestyle Grain Free Senior Cat Grain Free Alaska Pollock, Duck & Sweet Potato",1.73,42.75,0.35,15.41,27.48,3454,26-Nov-19,173.7779448,NURSING CATS
Only Natural Pet Feline Powerfood High Protein Grain Free Rabbit*,1.76,42.22,0.54,22.22,na,3650,29-Jan-20,151.1157748,NURSING CATS
Victor Mers Classic,1.78,35.34,0.35,18.29,38.39,3596,23-Nov-19,181.6254688,NURSING CATS
Merrick Purrfect Bistro Grain Free Real Chicken & Sweet Potato,1.8,47.51,0.54,17.39,25.66,3731,26-Jun-19,155.3027969,NURSING CATS
Taste of the Wild Lowland Creek with Roasted Quail and Roasted Duck,1.86,40.3,0.55,17.5,29.1,3558,18-Oct-19,170.3084013,NURSING CATS
Nature's Logic Sardine,1.88,42.2,0.6,15.5,25.8,3504,15-Nov-20,174.5757529,NURSING CATS
ZiwiPeak New Zealand Air-Dried Beef,1.88,47.8,0.86,38,2.2,5500,01-Feb-20,117.3530059,NURSING CATS
Horizon Legacy Cat & Kitten Grain Free,1.89,42.51,0.4,19.38,20.44,3870,25-Nov-19,158.3673993,NURSING CATS
Instinct Raw Boost Indoor Health Rabbit,1.9,43,0.55,15.93,26.37,3913,08-Nov-19,170.6784041,NURSING CATS
Only Natural Pet Feline Powerfood High Protein Grain Free Poultry*,1.92,52.22,0.43,20,18.89,3630,29-Jan-20,138.5139793,NURSING CATS
Whole Earth Farms Grain Free Healthy Kitten,1.95,42.5,1.3,17.2,28.03,3500,25-Oct-19,166.2380301,NURSING CATS
Instinct Raw Boost Grain Free Real Salmon,2,46,0.88,20.3,17.58,4488,08-Nov-19,148.2437353,NURSING CATS
Diamond Naturals Chicken & Rice Active Cat,2,46.4,0.66,22.4,17.2,4000,12-Nov-19,141.9334975,NURSING CATS
Instinct Original Grain Free Salmon Meal,2,47,0.66,19.78,17.58,4470,08-Nov-19,147.9013833,NURSING CATS
Only Natural Pet Feline Powerfood High Protein Grain Free Fish & Fowl,2,50,0.44,21.11,17.78,3665,29-Jan-20,138.8450971,NURSING CATS
Feline Natural Beef & Hoki Feast Freeze Dried*,2.17,51.09,na,34.78,na,4762,01-Feb-20,114.753126,NURSING CATS
Instinct Limited Ingredient Diet Turkey,2.2,39,0.55,18.13,26.37,4070,08-Nov-19,171.3168427,NURSING CATS
Instinct Raw Boost Duck,2.2,44,0.77,25.82,12.09,4387,08-Nov-19,139.6574185,NURSING CATS
Instinct Original Grain Free Duck,2.2,44,0.77,25.82,13.19,4397,08-Nov-19,139.6574185,NURSING CATS
Instinct Kitten Chicken,2.2,47,0.66,24.73,13.19,4456,08-Nov-19,135.7581024,NURSING CATS
Instinct Original Grain Free Rabbit Meal,2.3,45,0.66,24.73,13.19,4346,08-Nov-19,139.635171,NURSING CATS
Instinct Original Grain Free Chicken Meal,2.6,45,0.66,23.08,15.38,4300,08-Nov-19,143.1041787,NURSING CATS
Instinct Raw Boost Grain Free Real Chicken,2.6,45,0.66,24.18,14.29,4327,08-Nov-19,140.7389027,NURSING CATS
